state,x,y
Andhra Pradesh,-50.0,-128.0
Arunachal Pradesh,222.0,169.0
Assam,174.0,124.0
Bihar,51.0,95.0
Chhattisgarh,-6.0,11.0
Goa,-280.0,-201.0
Gujarat,-201.0,40.0
Haryana,-117.0,158.0
Himachal Pradesh,-105.0,212.0
Jharkhand,50.0,54.0
Jammu And Kashmir,-135.0,266.0
Karnataka,-127.0,-138.0
Kerala,-113.0,-212.0
Madhya Pradesh,-85.0,37.0
Maharashtra,-128.0,-40.0
Manipur,212.0,94.0
Meghalaya,163.0,102.0
Mizoram,197.0,59.0
Nagaland,223.0,123.0
Odisha,38.0,-8.0
Punjab,-134.0,185.0
Rajasthan,-162.0,102.0
Sikkim,100.0,141.0
Tamil Nadu,-67.0,-208.0
Telangana,-69.0,-60.0
Tripura,173.0,69.0
Uttar Pradesh,-37.0,114.0
Uttarakhand,-65.0,175.0
West Bengal,99.0,46.0